init internal/bytealg @0.007 ms, 0 ms clock, 0 bytes, 0 allocs
init runtime @0.13 ms, 0.079 ms clock, 0 bytes, 0 allocs
init crypto/internal/fips140deps/cpu @0.63 ms, 0.008 ms clock, 0 bytes, 0 allocs
init math @0.67 ms, 0 ms clock, 0 bytes, 0 allocs
init errors @0.70 ms, 0.008 ms clock, 0 bytes, 0 allocs
init iter @0.73 ms, 0.009 ms clock, 16 bytes, 1 allocs
init sync @0.75 ms, 0.009 ms clock, 0 bytes, 0 allocs
init internal/godebug @0.79 ms, 0.12 ms clock, 3016 bytes, 65 allocs
init encoding/base64 @0.93 ms, 0.028 ms clock, 1408 bytes, 4 allocs
init crypto @0.98 ms, 0 ms clock, 160 bytes, 1 allocs
init hash/crc32 @0.99 ms, 0.038 ms clock, 1152 bytes, 5 allocs
init syscall @1.0 ms, 0.021 ms clock, 1280 bytes, 5 allocs
init time @1.1 ms, 0.003 ms clock, 256 bytes, 2 allocs
init context @1.1 ms, 0.002 ms clock, 112 bytes, 1 allocs
init internal/poll @1.1 ms, 0.008 ms clock, 72 bytes, 2 allocs
init io/fs @1.1 ms, 0.007 ms clock, 0 bytes, 0 allocs
init os @1.2 ms, 0.035 ms clock, 448 bytes, 9 allocs
init unicode @1.2 ms, 0.047 ms clock, 11400 bytes, 16 allocs
init github.com/carapace-sh/carapace/third_party/github.com/drone/envsubst/parse @1.4 ms, 0.013 ms clock, 16 bytes, 1 allocs
init reflect @1.4 ms, 0 ms clock, 0 bytes, 0 allocs
init go/token @1.4 ms, 0.019 ms clock, 984 bytes, 4 allocs
init log @1.5 ms, 0.007 ms clock, 64 bytes, 2 allocs
init compress/flate @1.5 ms, 0.007 ms clock, 4240 bytes, 7 allocs
init crypto/internal/fips140 @1.5 ms, 0.014 ms clock, 480 bytes, 9 allocs
init crypto/internal/fips140/sha3 @1.6 ms, 0.008 ms clock, 0 bytes, 0 allocs
init crypto/internal/fips140/sha256 @1.6 ms, 0.003 ms clock, 144 bytes, 2 allocs
